kab_kota,tahun,Intercept,X1_Produksi_Perikanan_Tangkap_Laut,X5_Persentase_Penduduk_Miskin,X8_PDRB_per_Kapita_ADHB,X12_Kepadatan_Penduduk,X13a_Jumlah_Pelabuhan_Utama,X13b_Kunjungan_Kapal_Tahunan,X13c_Jarak_ke_Pelabuhan_Induk,X17_TPT,X27_Volume_Wacana_Digital,X9_Pangsa_Pengeluaran_Pangan,local_R2,local_condition_number
Kepulauan Tanimbar (Maluku Tenggara Barat),2023,32.07717420630197,0.31064648449280313,-0.4141258047871865,-3.1679260357910897,-3.615995213510028,-1.0334671294750117,0.5390380206956724,-0.43739468569581974,0.6981312447283027,-0.4064029531426,1.0557131601143466,0.5174913915581301,11.873377269499356
Kepulauan Tanimbar (Maluku Tenggara Barat),2024,31.654170181301218,0.33678349125508866,-0.3505704347847187,-2.4855759823174783,-2.681207803262711,-0.862205018533647,-0.06768167728403363,-0.22944519779971917,0.37542512493157476,-0.3506312417557954,0.7844951911824305,0.5342772638137923,10.02533706050492
Kepulauan Tanimbar (Maluku Tenggara Barat),2025,31.342780508823886,0.476454267683823,-0.28750291280011675,-2.2723147949482962,-1.5859047582280015,-0.6566741751417868,-0.7786794293677526,-0.0914209435482447,0.019654776495069415,-0.4217064752262406,0.6656851887834043,0.5644805898073083,9.042542290959537
Kota Ambon,2020,32.77871640713455,1.5770226377032024,-1.2454809411285652,-4.308624980175816,1.4812916354855183,0.33565682217834736,-4.72151302654622,0.6394021511711419,1.1272495079632099,-2.8474537325569127,2.4037239916558018,0.6181274445828531,7.637157340138266
Kota Ambon,2021,32.664038751218875,1.6568552597801232,-1.313406982864987,-4.184221646959797,1.3348314495012823,0.19911060447167567,-4.433497380170285,0.7780357099544438,1.2448171600537572,-2.916892559865135,2.2075954376557116,0.6162714251856741,8.082207126122432
Kota Ambon,2022,32.48442836176514,1.9394405155353471,-1.44632708938902,-4.010343988847709,0.7849091243036193,-0.2642001498854007,-3.468677429562136,1.1280257785714933,1.1981131924579569,-2.792964599807777,1.4638576198595845,0.6075389667129509,9.486624352562638
Kota Ambon,2023,32.029598512087865,2.0296971908406807,-1.2360450961329084,-3.2788100577019,-0.024093153096805153,-0.6955996196556544,-2.150408971683364,1.28933138518808,-0.08120047118912199,-1.3962255731642497,0.3520924500440088,0.602387452236967,9.987659970726137
Kota Ambon,2024,31.522277206788505,1.4045250284159747,-0.7770594203219057,-2.5443943426248734,-0.17294817640216698,-0.5722013843054743,-1.7300967052367748,0.7879162652449903,-0.5908644126510753,-0.6895451790000291,0.3635247699264901,0.6058198274085083,8.930009581667772
Kota Ambon,2025,31.313678398530335,1.077155090908903,-0.5605428654629558,-2.329220491378818,-0.23775588698369576,-0.5434759112713381,-1.5788111104204963,0.5596697965753608,-0.6821977758450419,-0.4801089026108323,0.4321698241926468,0.6144108991511661,8.505206745526573
Kota Ternate,2020,33.55614296752672,1.1981142949493746,-0.007773231695285501,-3.8779919657580235,0.7882633354127826,0.21005271144452448,-3.165653075123173,1.7231906905490775,0.7300504839385125,-2.372911207207407,1.6583154154590307,0.621511801809328,6.709093228706856
