Provinsi,Kab/Kota,Tahun,Y_PoU,X1_Perikanan,X2_Padi,X4_NTP,X5_PendudukMiskin,X6_GarisKemiskinan,X7_Gini,X8_PDRB,X9_PangsaPangan,X10_PengeluaranPangan,X11_JalanMantap,X12_Kepadatan,X13a_Pelabuhan,X13b_KunjunganKapal,X13c_JarakPelabuhan,X14_TPAK,X15_RLS,X16_NonAK,X17_TPT,X18_TKPertanian,X19_AirMinum,X20_Sanitasi,X21_Stunting,X22_UHH,X23_IPM,X24_Sinyal4G5G,is_variabel_provinsi,flag_definisi_lama_air,X13_IKM,Rasio_Perikanan_per_Kepadatan
Maluku,Kepulauan Tanimbar (Maluku Tenggara Barat),2020,37.05,11616.0,174.64,96.77,27.11,479402,303.0,21.989,53.47,4.794,100.0,27.67,1,849,610,72.39,9.68,27.61,4.51,33.97,93.21,75.06,25.1,69.68,65.75,51.19,False,1,0.0074398068077236035,419.80484279002525
Maluku,Kepulauan Tanimbar (Maluku Tenggara Barat),2021,35.01,12192.0,400.47,101.14,27.27,506106,303.0,22.951,54.49,4.747,100.0,27.78,1,804,610,68.96,9.69,31.04,4.4,32.64,93.21,76.77,25.1,69.7,65.85,89.77,False,0,0.006560835015460339,438.8768898488121
Maluku,Kepulauan Tanimbar (Maluku Tenggara Barat),2022,35.03,13941.0,293.5,104.85,23.88,546300,277.0,24.851,54.47,4.987,100.0,27.94,1,759,610,66.57,9.77,33.43,4.33,33.54,92.1,76.47,31.5,69.96,66.33,92.80666666666666,False,0,0.0056818632231970725,498.96206156048675
Maluku,Kepulauan Tanimbar (Maluku Tenggara Barat),2023,34.05,14389.589,861.53,104.41,24.47,615768,295.0,26.366,50.33,4.758,100.0,28.81,1,697,610,62.0,9.91,38.0,4.31,31.6,92.98,78.17,25.1,70.19,67.04,95.84333333333333,False,0,0.004470835420523242,499.46508156889973
Maluku,Kepulauan Tanimbar (Maluku Tenggara Barat),2024,35.83,8766.052,834.99,102.34,23.66,645956,253.0,27.728,52.54,4.848,100.0,29.22,1,614,610,62.99,9.92,37.41,4.24,31.77,93.32,80.51,29.5,70.2,67.69,98.88,False,0,0.002849620781459887,300.00177960301164
Maluku,Kepulauan Tanimbar (Maluku Tenggara Barat),2025,35.76,8766.052,847.0,98.79,23.38,682859,251.0,29.053,53.74,5.341,100.0,29.63,1,585,610,63.18,9.93,36.82,4.21,36.17,92.83,83.09,29.5,70.53,68.47,97.75,False,0,0.0022831722931124492,295.8505568680391
Maluku,Kota Ambon,2020,22.19,5908.0,0.0,96.77,4.51,596042,266.0,42.377,43.48,6.785,50.72,1163.02,1,2819,0,60.54,11.92,39.46,12.84,33.97,93.21,75.06,21.8,72.12,81.69,100.0,False,1,0.04862858158188704,5.079878248009493
Maluku,Kota Ambon,2021,16.23,20097.0,0.0,101.14,5.02,621482,0.29,44.406,42.77,6.921,50.72,1164.21,1,3077,0,61.56,12.2,38.44,11.32,32.64,93.21,76.77,21.8,72.22,82.07,100.0,False,0,0.05366801985752977,17.262349576107404
Maluku,Kota Ambon,2022,24.13,25405.0,0.0,104.85,4.68,661016,295.0,48.359,44.88,7.268,50.72,1166.15,1,3335,0,62.27,12.21,37.73,11.67,33.54,92.1,76.47,21.1,72.54,82.44,100.0,False,0,0.05870745813317248,21.785362088925094
Maluku,Kota Ambon,2023,24.12,27796.213,0.0,104.41,5.25,716560,285.0,51.568,40.98,6.531,50.72,1201.65,1,3196,0,65.8,12.22,34.2,11.65,31.6,92.98,78.17,20.7,72.86,82.84,100.0,False,0,0.05599241193040373,23.13170473931677
Maluku,Kota Ambon,2024,27.62,3182.976,0.0,102.34,5.13,750166,263.0,54.699,43.59,7.702,50.72,1214.42,1,3367,0,66.54,12.24,33.99,11.44,31.77,93.32,80.51,19.7,73.14,83.37,100.0,False,0,0.05933250474100413,2.6209845028902685
Maluku,Kota Ambon,2025,24.78,3182.976,0.0,98.79,4.34,783697,281.0,57.375,42.29,8.285,53.92,1226.69,1,3700,0,66.22,12.37,33.78,11.37,36.17,92.83,83.09,19.7,73.56,83.97,100.0,False,0,0.0658368960037523,2.594768034303695
Maluku Utara,Kota Ternate,2020,21.78,47748.0,8603.76,96.52,3.46,595553,272.0,51.129,40.69,6.855,66.381,2138.0,2,8105,0,59.88,11.71,40.12,5.8,33.97,38.2,94.4,24.0,70.97,79.82,82.67,False,1,0.6112966951101895,22.333021515434986
Maluku Utara,Kota Ternate,2021,13.6,44278.0,0.0,102.43,3.55,629463,0.26,52.96,43.24,7.259,66.381,1848.0,2,9217,0,59.58,11.81,40.42,5.7,29.04,100.0,99.23,24.0,71.06,80.14,82.67,False,0,0.6330170647323394,23.95995670995671
Maluku Utara,Kota Ternate,2022,24.6,48234.0,0.17666666666666667,106.44,3.11,661459,305.0,58.568,43.77,6.688,66.381,1856.0,2,9882,0,58.9,12.06,41.1,5.77,26.81,99.52,95.56,17.7,71.38,80.81,83.32000000000001,False,0,0.646006314551341,25.98814655172414
Maluku Utara,Kota Ternate,2023,17.86,33998.934,6203.006666666667,103.37,3.39,668074,298.0,64.16,43.3,7.445,66.381,1307.0,2,11365,0,61.2,12.07,38.8,6.62,26.5,99.44,98.29,21.1,71.7,81.35,83.97,False,0,0.6749733182830393,26.012956388676358
Maluku Utara,Kota Ternate,2024,22.16,39877.731,0.0,103.42,3.14,701354,0.29,70.89,42.76,9.397,66.381,1322.0,2,12180,0,63.58,12.08,37.415,6.42,25.62,99.44,98.29,21.1,71.98,82.12,84.62,False,0,0.6908924740762518,30.164698184568834
Maluku Utara,Kota Ternate,2025,21.69,39877.731,0.0,106.05,3.34,753052,0.29,76.451,43.8,9.449,68.208,1336.0,2,12775,0,63.97,12.09,36.03,6.92,24.06,99.44,98.29,21.1,71.98,83.01,87.18,False,0,0.7025144344406216,29.848601047904193
Maluku Utara,Kota Tidore Kepulauan,2020,29.47,36947.0,106.87,96.52,6.52,448352,258.0,25.771,50.56,6.281,60.212,62.0,1,2779,12,67.06,9.73,32.94,4.95,33.97,52.05,88.15,25.1,69.34,70.53,64.44,False,1,0.11602111604444992,595.9193548387096
Maluku Utara,Kota Tidore Kepulauan,2021,21.58,35972.0,81.22666666666667,102.43,6.58,472651,249.0,26.144,50.13,6.377,60.212,71.0,1,3160,12,66.2,9.95,33.8,2.81,29.04,98.21,90.55,25.1,69.43,70.99,60.22,False,0,0.12346307721894557,506.6478873239437
Maluku Utara,Kota Tidore Kepulauan,2022,30.02,37670.0,55.583333333333336,106.44,5.99,484983,244.0,28.091,52.15,6.264,60.212,72.0,1,3388,12,65.35,9.96,34.65,2.85,26.81,97.71,88.76,23.7,69.75,71.55,65.24,False,0,0.1279165342997461,523.1944444444445
Maluku Utara,Kota Tidore Kepulauan,2023,26.77,33067.566,29.94,103.37,6.35,540752,257.0,29.199,47.8,7.238,60.212,70.0,1,3897,12,68.72,9.97,31.28,3.52,26.5,94.81,91.77,23.7,70.1,72.4,70.26,False,0,0.13785868190556838,472.3938
Maluku Utara,Kota Tidore Kepulauan,2024,29.05,33195.777,3.09,103.42,6.56,581193,265.0,32.017,51.62,7.511,60.212,71.0,1,4176,12,69.62,10.12,30.615000000000002,3.49,25.62,94.81,91.77,23.7,70.22,72.91,75.28,False,0,0.1433083070176006,467.5461549295775
Maluku Utara,Kota Tidore Kepulauan,2025,28.68,33195.777,81.0,106.05,6.54,643293,265.0,33.446,47.76,7.703,54.954,72.0,1,4380,12,70.05,10.18,29.95,4.02,24.06,94.81,91.77,23.7,70.22,74.63,70.79,False,0,0.14729297914252742,461.05245833333333
Maluku,Kota Tual,2020,28.96,21992.0,0.0,96.77,22.51,574105,259.0,28.458,48.32,4.685,100.0,347.03,1,2516,565,62.04,10.52,37.96,8.7,33.97,93.21,75.06,27.7,70.21,70.24,58.82,False,1,0.040114117433376596,63.372042762873534
Maluku,Kota Tual,2021,26.57,31643.0,0.0,101.14,23.26,600172,231.0,29.401,46.49,4.421,100.0,355.05,1,2413,565,60.61,10.53,39.39,8.71,32.64,93.21,76.77,27.7,70.41,70.44,72.22,False,0,0.038102248664418456,89.12265878045345
Maluku,Kota Tual,2022,35.29,31966.0,0.53,104.85,20.56,640542,256.0,32.185,50.2,5.117,100.0,366.15,1,2309,565,59.21,10.54,40.79,9.07,33.54,92.1,76.47,24.9,70.86,70.85,69.25666666666666,False,0,0.03607084718896558,87.30301788884337
Maluku,Kota Tual,2023,29.31,34237.745,0.43,104.41,20.68,722498,0.26,34.994,46.14,5.824,100.0,359.97,1,1813,565,55.48,10.66,44.52,8.98,31.6,92.98,78.17,32.0,71.32,71.67,66.29333333333334,False,0,0.02638262476757492,95.11277328666277
Maluku,Kota Tual,2024,27.91,30392.47,0.0,102.34,20.01,746967,209.0,36.846,51.77,6.465,100.0,364.57,1,1636,565,60.8,10.67,41.985,8.68,31.77,93.32,80.51,25.2,71.72,72.48,63.33,False,0,0.022925335718006076,83.36525221493815
Maluku,Kota Tual,2025,30.73,30392.47,0.0,98.79,19.39,777956,231.0,38.387,52.28,6.516,100.0,369.06,1,1455,565,60.55,10.68,39.45,8.96,36.17,92.83,83.09,25.2,72.05,72.88,93.33,False,0,0.019389915842458277,82.35102693328999
Maluku,Maluku Barat Daya,2020,36.29,3372.0,0.22,96.77,29.15,521899,272.0,20.419,51.98,4.852,32.9,17.88,3,1423,704,70.75,8.35,29.25,3.6,33.97,93.21,75.06,29.6,68.31,64.66,47.12,False,1,0.9372981109264603,188.59060402684565
Maluku,Maluku Barat Daya,2021,25.98,2508.0,0.57,101.14,29.55,535594,248.0,23.96,49.54,5.286,32.9,17.94,3,1484,704,76.66,8.59,23.34,1.8,32.64,93.21,76.77,29.6,67.48,65.14,66.98,False,0,0.9384896060226395,139.79933110367892
Maluku,Maluku Barat Daya,2022,27.22,1191.0,0.0,104.85,27.64,586021,175.0,26.874,54.86,5.258,32.9,18.02,3,1545,704,72.4,8.77,27.6,2.47,33.54,92.1,76.47,25.7,68.9,65.84,74.70333333333333,False,0,0.9396811011188185,66.09322974472808
Maluku,Maluku Barat Daya,2023,26.59,2457.653,0.0,104.41,28.78,658036,191.0,33.433,57.69,5.927,32.9,18.73,3,1447,704,67.99,8.92,32.01,2.43,31.6,92.98,78.17,29.9,69.3,66.71,82.42666666666668,False,0,0.9377668958823342,131.21478910838226
Maluku,Maluku Barat Daya,2024,30.33,1943.727,0.0,102.34,27.95,686428,177.0,36.666,58.71,6.644,32.9,19.03,3,1218,704,70.87,9.13,30.47,2.36,31.77,93.32,80.51,23.7,69.65,67.68,90.15,False,0,0.9332939060950389,102.1401471361009
