Topic,Words,Frequency,Timestamp,Name
3,"anak, jalan, liat, jauh laut, hobi jalan",1,2023-10-19 03:32:13.000,Sekolah Rakyat dan Anak
9,"plus, anies, bansos, penerima manfaat, manfaat",2,2023-10-19 03:32:13.000,Bantuan Sosial Presiden
18,"tengah, maluku tengah, cek artikel, tengah pak, tengah gimana",2,2023-10-19 03:32:13.000,Kegiatan Gizi di Maluku Tengah
20,"mendorong produk, lokal khususnya, diakui, nasional tangguh, ambon siap",1,2023-10-19 03:32:13.000,Ketahanan Pangan oleh TNI
26,"stunting, banda naira, stunting bsip, pkk maluku, loou",2,2023-10-19 03:32:13.000,Program Penurunan Stunting
33,"pupuk, ton pupuk, pasca, pasca nino, subsidi maluku",1,2023-10-19 03:32:13.000,Pemerintah Provinsi Maluku Utara
44,"duit, food, food estate, estate, bayar hutang",1,2023-10-19 03:32:13.000,Food Estate dan Ketahanan Pangan
57,"paslon tertentu, paslon, thn amin, kepala desa, tertentu",1,2023-10-19 03:32:13.000,Kepala Daerah dan Kebijakan
61,"kerja, asli, wanita, pelamar, diminta",1,2023-10-19 03:32:13.000,Lowongan dan Kondisi Kerja MBG
62,"resmikan sarana, sarana, sarana air, bersih maluku, kekeringan menhan",1,2023-10-19 03:32:13.000,Program Air Bersih Maluku Barat Daya
68,"sungguh ironis, pangan negeri, sda sungguh, kaya sda, agraris kaya",1,2023-10-19 03:32:13.000,Ketepatan Penyaluran Bansos
71,"curah, curah hujan, waspada, hujan, kekeringan",1,2023-10-19 03:32:13.000,Musim Kemarau dan Ketahanan Pangan
-1,"menyebut, ganjar, pranowo menyebut, menyebut menjabat, menjabat gubernur",3,2024-01-28 03:10:59.700,-1_maluku_provinsi maluku_provinsi_bahan
0,"harga, beras, harga beras, kenaikan, naik",5,2024-01-28 03:10:59.700,Kenaikan Harga Beras dan Pangan
6,"gimana, undang, cuti, undang presiden, mengeluh indonesia",1,2024-01-28 03:10:59.700,Diskusi Umum tentang MBG
18,"apbd, bansos apbd, maluku tengah, dprd, hingga",1,2024-01-28 03:10:59.700,Kegiatan Gizi di Maluku Tengah
22,"ikan, ikan mahal, susahnya, cari ikan, betapa susahnya",1,2024-01-28 03:10:59.700,Potensi Perikanan Maluku
23,"timbul, makan timbul, beda jogja, senin jumat, sekali makan",1,2024-01-28 03:10:59.700,Variasi Menu Harian MBG
28,"dpr, herannya dpr, masi pelihara, pecat semua, pelihara",1,2024-01-28 03:10:59.700,Gerakan Pangan Murah
30,"kak, gara, berkembang kak, buruk pendidikan, susah berkembang",1,2024-01-28 03:10:59.700,Pertanyaan Informasi MBG
33,"makan seadanya, utara protes, solok super, bulang, pakai bareh",1,2024-01-28 03:10:59.700,Pemerintah Provinsi Maluku Utara
35,"pangan lokal, lokal, lokal maluku, pangan, suatu kebutuhan",8,2024-01-28 03:10:59.700,Pangan Lokal Maluku
38,"pemilu, apa, pemilu jokowi, cfd, cfd dinyatakan",1,2024-01-28 03:10:59.700,Komentar Umum
41,"bongkar, gabah, mana, bongkar daerah, petani beli",1,2024-01-28 03:10:59.700,Pertanyaan Lokasi dan Distribusi Beras
44,"estate, food estate, food, tampilkan datanya, tampilkan",2,2024-01-28 03:10:59.700,Food Estate dan Ketahanan Pangan
50,"jam, konsentrasi, gimana jawabannya, jam rawan, rawan kelaparan",1,2024-01-28 03:10:59.700,Jadwal Produksi dan Distribusi MBG
78,"kalimantan bali, pertanyaan saudara, konon kabarnya, blt bansos, lombok ntt",1,2024-01-28 03:10:59.700,Ketahanan Pangan Kawasan Timur Indonesia
79,"ganjar, pak ganjar, menunggu, warga, merdeka pattimura",5,2024-01-28 03:10:59.700,Ganjar dan Aktivitas Politik
-1,"jaman, tenaga listrik, bank, bla, komentar",6,2024-05-08 02:49:46.400,-1_maluku_provinsi maluku_provinsi_bahan
0,"harga, prov malut, pasokan, prov, malut",4,2024-05-08 02:49:46.400,Kenaikan Harga Beras dan Pangan
7,"menyesuaikan jaman, jaman orang, menyesuaikan, orang modern, gimana menyesuaikan",1,2024-05-08 02:49:46.400,Kemiskinan dan Kerawanan Pangan
10,"kelaparan, bukan kelaparan, hutan, penambang, kayaknya",5,2024-05-08 02:49:46.400,Kelaparan dan Kehidupan Masyarakat Adat
20,"mou perkuat, malteng mou, pemda malteng, mou, maluku pemda",1,2024-05-08 02:49:46.400,Ketahanan Pangan oleh TNI
26,"kental, kental manis, manis, konsumsi kental, stunting",1,2024-05-08 02:49:46.400,Program Penurunan Stunting
27,"nasi, nusantara, makanan pokok, ternyata, pokok",1,2024-05-08 02:49:46.400,Komentar Porsi dan Menu Makanan
29,"antam, program antam, menurunkan risiko, antam best, best",2,2024-05-08 02:49:46.400,Stunting di Maluku Utara
31,"dimurahkan bahkan, dimurahkan, pendidikan dimurahkan, infestasi nama, infestasi",1,2024-05-08 02:49:46.400,Komentar Isu Pemerintahan
